b_pra,ins_blocks,ins_blocks2,stim_word,stim_color,corrAns,cue_type,trial_type,task_type,rand,compatibility,switch,b_test,w_pic,w_pic2,trials_instr.thisRepN,trials_instr.thisTrialN,trials_instr.thisN,trials_instr.thisIndex,block_pra.thisRepN,block_pra.thisTrialN,block_pra.thisN,block_pra.thisIndex,trials_rep.thisRepN,trials_rep.thisTrialN,trials_rep.thisN,trials_rep.thisIndex,trials_pra.thisRepN,trials_pra.thisTrialN,trials_pra.thisN,trials_pra.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instr_image.started,instr_key_resp.started,instr_key_resp.keys,instr_key_resp.rt,instr_pra_image.started,ip_key_resp.started,ip_key_resp.keys,ip_key_resp.rt,block_image.started,ib_key_resp.started,ib_key_resp.keys,ib_key_resp.rt,cd_text.started,cd3.started,cd_text.stopped,cd3.stopped,cd2.started,cd2.stopped,cd1.started,cd1.stopped,text_fix.started,text_2.started,text_fix.stopped,text_2.stopped,text_4.started,text_4.stopped,text_target.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,text_fb.started,text_fb.stopped,text.started,key_bf.started,key_bf.keys,key_bf.rt,text_target.stopped,key_resp.stopped,sceen_black.started,sceen_black.stopped,instr_test_image.started,instr_exp_key_resp.started,instr_exp_key_resp.keys,instr_exp_key_resp.rt,text_rest.started,key_resp_rest.started,key_resp_rest.keys,key_resp_rest.rt,text_3.started,text_3.stopped,participant,session,balance,date,expName,psychopyVersion,frameRate,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,red,k,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.08792299998458,197.2711919999856,197.28763299999991,197.5717306000006,197.5717306000006,198.07133949999115,198.07133949999115,198.07133949999115,k,1,0.7271035999874584,198.82105639998917,199.8215574999922,,,,,,,,,,,,,,,,,,,11002,2,2,2024-06-15_18h09.31.766,stroop_task_switching2_b,2022.2.4,59.91730213418072,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,green,d,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.8215574999922,200.0055066999921,200.02104389999295,200.3047125999874,200.3047125999874,200.80522569999448,200.80522569999448,200.80522569999448,d,1,0.7208712999999989,201.55462189999525,202.5548654999875,,,,,,,,,,,,,,,,,,,11002,2,2,2024-06-15_18h09.31.766,stroop_task_switching2_b,2022.2.4,59.91730213418072,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,yellow,f,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.5548654999875,202.73791379999602,202.7545799999789,203.03782869997667,203.03782869997667,203.5381250999926,203.5381250999926,203.5381250999926,f,1,0.4292655999888666,203.98776409999118,204.98798259999603,,,,,,,,,,,,,,,,,,,11002,2,2,2024-06-15_18h09.31.766,stroop_task_switching2_b,2022.2.4,59.91730213418072,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,red,k,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.98798259999603,205.1879146999854,205.1879146999854,205.48813990000053,205.47125559998676,205.97115399999893,205.97115399999893,205.97115399999893,k,1,0.46737660001963377,206.4543324999977,207.45487819999107,,,,,,,,,,,,,,,,,,,11002,2,2,2024-06-15_18h09.31.766,stroop_task_switching2_b,2022.2.4,59.91730213418072,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,green,d,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.45487819999107,207.65447029998177,207.65447029998177,207.955350299977,207.955350299977,208.45481199998176,208.45481199998176,208.45481199998176,d,1,1.0006450999935623,209.48823560000164,210.48802969997632,,,,,,,,,,,,,,,,,,,11002,2,2,2024-06-15_18h09.31.766,stroop_task_switching2_b,2022.2.4,59.91730213418072,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,yellow,f,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.48802969997632,210.67182589997537,210.68812189999153,210.97097779999604,210.9878713999933,211.48779539999668,211.48779539999668,211.48779539999668,f,1,0.9183544999978039,212.43808079999872,213.4377869000018,,,,,,,,,,,,,,,,,,,11002,2,2,2024-06-15_18h09.31.766,stroop_task_switching2_b,2022.2.4,59.91730213418072,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,blue,j,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.4377869000018,213.62098939999123,213.63828579999972,213.92107609999948,213.92107609999948,214.4215564999904,214.4215564999904,214.4215564999904,j,1,0.5845446999883279,215.03766209998867,216.03809319998254,,,,,,,,,,,,,,,,,,,11002,2,2,2024-06-15_18h09.31.766,stroop_task_switching2_b,2022.2.4,59.91730213418072,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,green,d,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.03809319998254,216.22157369999331,216.23769529999117,216.52148199998192,216.53804429998854,217.03776919998927,217.03776919998927,217.03776919998927,d,1,0.920913300011307,217.98814429997583,218.98794759999146,,,,,,,,,,,,,,,,,,,11002,2,2,2024-06-15_18h09.31.766,stroop_task_switching2_b,2022.2.4,59.91730213418072,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,yellow,f,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.98794759999146,219.1875987999956,219.1875987999956,219.48818769998616,219.48818769998616,219.98743929999182,219.98743929999182,219.98743929999182,f,1,0.5795230999938212,220.58814269999857,221.58833169998252,,,,,,,,,,,,,,,,,,,11002,2,2,2024-06-15_18h09.31.766,stroop_task_switching2_b,2022.2.4,59.91730213418072,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,blue,j,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.58833169998252,221.78807839998626,221.78807839998626,222.08798209999804,222.08798209999804,222.58801029997994,222.58801029997994,222.58801029997994,j,1,0.6823542999918573,223.28719339999952,224.28798870000173,,,,,,,,,,,,,,,,,,,11002,2,2,2024-06-15_18h09.31.766,stroop_task_switching2_b,2022.2.4,59.91730213418072,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,red,k,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.28798870000173,224.48773549997713,224.48773549997713,224.78788409999106,224.78788409999106,225.2874989999982,225.2874989999982,225.2874989999982,k,1,0.32658759999321774,225.63855859998148,,,,,,,,,,,,,,,,,,,,11002,2,2,2024-06-15_18h09.31.766,stroop_task_switching2_b,2022.2.4,59.91730213418072,
condition/block_color_b,instruction/instr_color,instruction/i8_b,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.67866429997957,226.67866429997957,space,3.831006799999159,,,,,,,,,,,,,,,11002,2,2,2024-06-15_18h09.31.766,stroop_task_switching2_b,2022.2.4,59.91730213418072,
