arrwidth1,arrwidth2,arrwidth3,arrwidth4,arrwidth5,keyb,type,orientation,instruction_image,block_filename,block_type,arrow11,arrow22,arrow33,arrow44,arrow55,keyb_3,orientation3,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,welcome.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instruction_example.started,instruction_example.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instruction_task.started,instruction_task.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,A1.started,A1.stopped,A2.started,A2.stopped,A3.started,A3.stopped,A4.started,A4.stopped,A5.started,A5.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,fb.started,fb.stopped,instruction_block.started,instruction_block.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_8.started,text_8.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,text_5.started,text_5.stopped,A11_3.started,A11_3.stopped,A22_2.started,A22_2.stopped,A33_2.started,A33_2.stopped,A44_2.started,A44_2.stopped,A55_2.started,A55_2.stopped,M1_3.started,M1_3.stopped,M2_2.started,M2_2.stopped,M3_2.started,M3_2.stopped,M4_2.started,M4_2.stopped,M5_2.started,M5_2.stopped,M6_2.started,M6_2.stopped,M7_2.started,M7_2.stopped,M8_2.started,M8_2.stopped,key_resp_9.started,key_resp_9.stopped,fixation.started,fixation.stopped,ET,fb_3.started,fb_3.stopped,text_9.started,text_9.stopped,fb_4.started,fb_4.stopped,text_7.started,text_7.stopped,endtext.started,endtext.stopped,fixation_ITI,CCC,Acc,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,8,8,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.2067717,None,left,0,1.1813315,110.7073303,None,110.7073303,113.7116511,110.7073303,113.7116511,110.7073303,113.7116511,110.7073303,113.7116511,110.7073303,113.7116511,113.6945623,114.1959269,113.6945623,114.1959269,113.6945623,114.1959269,113.6945623,114.1959269,113.6945623,114.1959269,113.6945623,114.1959269,113.6945623,114.1959269,113.6945623,114.1959269,110.7073303,None,114.1959269,114.1959269,3,114.211983,None,114.9632111,None,,,,,,,0,0.5,0.444444444,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,9,9,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.4639182,None,right,1,1.9240409,115.9644008,None,115.9644008,118.9698767,115.9644008,118.9698767,115.9644008,118.9698767,115.9644008,118.9698767,115.9644008,118.9698767,118.9522916,119.453584,118.9522916,119.453584,118.9522916,119.453584,118.9522916,119.453584,118.9522916,119.453584,118.9522916,119.453584,118.9522916,119.453584,118.9522916,119.453584,115.9644008,None,119.453584,119.453584,3,119.4696099,None,120.2208489,None,,,,,,,0,0.5,0.5,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,10,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.7224945,None,left,0,2.6662168,121.2221958,None,121.2221958,124.2279663,121.2221958,124.2279663,121.2221958,124.2279663,121.2221958,124.2279663,121.2221958,124.2279663,124.2100967,124.7116182,124.2100967,124.7116182,124.2100967,124.7116182,124.2100967,124.7116182,124.2100967,124.7116182,124.2100967,124.7116182,124.2100967,124.7116182,124.2100967,124.7116182,121.2221958,None,124.7116182,124.7116182,3,124.7281109,None,125.4786344,None,,,,,,,0,0.5,0.454545455,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,11,11,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.9792866,None,right,0,2.1851135,126.4800205,None,126.4800205,129.4847954,126.4800205,129.4847954,126.4800205,129.4847954,126.4800205,129.4847954,126.4800205,129.4847954,129.4678251,129.9693045,129.4678251,129.9693045,129.4678251,129.9693045,129.4678251,129.9693045,129.4678251,129.9693045,129.4678251,129.9693045,129.4678251,129.9693045,129.4678251,129.9693045,126.4800205,None,129.9693045,129.9693045,3,129.9859311,None,130.737244,None,,,,,,,0,0.5,0.416666667,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,12,12,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.2377725,None,left,0,2.5829193,131.737919,None,131.737919,134.7430639,131.737919,134.7430639,131.737919,134.7430639,131.737919,134.7430639,131.737919,134.7430639,134.7263176,135.2266371,134.7263176,135.2266371,134.7263176,135.2266371,134.7263176,135.2266371,134.7263176,135.2266371,134.7263176,135.2266371,134.7263176,135.2266371,134.7263176,135.2266371,131.737919,None,135.2266371,135.2266371,3,135.243477,None,135.9941513,None,,,,,,,0,0.5,0.384615385,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,13,13,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.4949679,None,left,1,1.109049,136.9956008,None,136.9956008,140.0007809,136.9956008,140.0007809,136.9956008,140.0007809,136.9956008,140.0007809,136.9956008,140.0007809,139.9840547,140.4847909,139.9840547,140.4847909,139.9840547,140.4847909,139.9840547,140.4847909,139.9840547,140.4847909,139.9840547,140.4847909,139.9840547,140.4847909,139.9840547,140.4847909,136.9956008,None,140.4847909,140.4847909,3,140.5007009,None,141.2519732,None,,,,,,,0,0.5,0.428571429,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,14,14,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.7534521,None,left,1,1.867764,142.2535047,None,142.2535047,145.2579362,142.2535047,145.2579362,142.2535047,145.2579362,142.2535047,145.2579362,142.2535047,145.2579362,145.2412623,145.7420157,145.2412623,145.7420157,145.2412623,145.7420157,145.2412623,145.7420157,145.2412623,145.7420157,145.2412623,145.7420157,145.2412623,145.7420157,145.2412623,145.7420157,142.2535047,None,145.7420157,145.7420157,3,145.758641,None,146.5104095,None,,,,,,,0,0.5,0.466666667,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,15,15,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.0109634,None,left,1,1.7691364,147.5117059,None,147.5117059,150.5161674,147.5117059,150.5161674,147.5117059,150.5161674,147.5117059,150.5161674,147.5117059,150.5161674,150.4989823,151.0003307,150.4989823,151.0003307,150.4989823,151.0003307,150.4989823,151.0003307,150.4989823,151.0003307,150.4989823,151.0003307,150.4989823,151.0003307,150.4989823,151.0003307,147.5117059,None,151.0003307,151.0003307,3,151.0166665,None,151.767442,None,,,,,,,0,0.5,0.5,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,16,16,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.2685249,None,right,1,2.8309194,152.7695966,None,152.7695966,155.7735147,152.7695966,155.7735147,152.7695966,155.7735147,152.7695966,155.7735147,152.7695966,155.7735147,155.7566527,156.2574738,155.7566527,156.2574738,155.7566527,156.2574738,155.7566527,156.2574738,155.7566527,156.2574738,155.7566527,156.2574738,155.7566527,156.2574738,155.7566527,156.2574738,152.7695966,None,156.2574738,156.2574738,3,156.2744181,None,157.0264669,None,,,,,,,0,0.5,0.529411765,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,17,17,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.5271721,None,left,1,1.0936734,158.0268476,None,158.0268476,161.0325354,158.0268476,161.0325354,158.0268476,161.0325354,158.0268476,161.0325354,158.0268476,161.0325354,161.0146541,161.5152779,161.0146541,161.5152779,161.0146541,161.5152779,161.0146541,161.5152779,161.0146541,161.5152779,161.0146541,161.5152779,161.0146541,161.5152779,161.0146541,161.5152779,158.0268476,None,161.5152779,161.5152779,3,161.532744,None,162.2840758,None,,,,,,,0,0.5,0.555555556,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
