arrwidth1,arrwidth2,arrwidth3,arrwidth4,arrwidth5,keyb,type,orientation,instruction_image,block_filename,block_type,arrow11,arrow22,arrow33,arrow44,arrow55,keyb_3,orientation3,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,welcome.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instruction_example.started,instruction_example.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instruction_task.started,instruction_task.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,A1.started,A1.stopped,A2.started,A2.stopped,A3.started,A3.stopped,A4.started,A4.stopped,A5.started,A5.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,fb.started,fb.stopped,instruction_block.started,instruction_block.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_8.started,text_8.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,text_5.started,text_5.stopped,A11_3.started,A11_3.stopped,A22_2.started,A22_2.stopped,A33_2.started,A33_2.stopped,A44_2.started,A44_2.stopped,A55_2.started,A55_2.stopped,M1_3.started,M1_3.stopped,M2_2.started,M2_2.stopped,M3_2.started,M3_2.stopped,M4_2.started,M4_2.stopped,M5_2.started,M5_2.stopped,M6_2.started,M6_2.stopped,M7_2.started,M7_2.stopped,M8_2.started,M8_2.stopped,key_resp_9.started,key_resp_9.stopped,fixation.started,fixation.stopped,ET,fb_3.started,fb_3.stopped,text_9.started,text_9.stopped,fb_4.started,fb_4.stopped,text_7.started,text_7.stopped,endtext.started,endtext.stopped,fixation_ITI,CCC,Acc,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,8,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.8747864,None,left,1,1.4276363,138.3764393,140.3118606,138.3764393,139.8117169,138.3764393,139.8117169,138.3764393,139.8117169,138.3764393,139.8117169,138.3764393,139.8117169,139.7946591,140.2958055,139.7946591,140.2958055,139.7946591,140.2958055,139.7946591,140.2958055,139.7946591,140.2958055,139.7946591,140.2958055,139.7946591,140.2958055,139.7946591,140.2958055,138.3764393,None,140.2958055,None,1.43,140.3456354,None,141.0962468,None,,,,,,,[0.03444444],2.35,0.888888889,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,9,9,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.597949,None,right,1,1.4342989,142.0984442,143.9012805,142.0984442,143.4006207,142.0984442,143.4006207,142.0984442,143.4006207,142.0984442,143.4006207,142.0984442,143.4006207,143.3667121,143.8675072,143.3667121,143.8675072,143.3667121,143.8675072,143.3667121,143.8675072,143.3667121,143.8675072,143.3667121,143.8675072,143.3667121,143.8675072,143.3667121,143.8675072,142.0984442,None,143.8675072,144.0341149,1.29,144.0507158,None,144.8046373,None,,,,,,,[0.152],2.49,0.9,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,10,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.319381,None,right,1,0.9599533,145.8202209,147.4894867,145.8202209,147.0061647,145.8202209,147.0061647,145.8202209,147.0061647,145.8202209,147.0061647,145.8202209,147.0061647,146.971718,147.4736084,146.971718,147.4736084,146.971718,147.4736084,146.971718,147.4736084,146.971718,147.4736084,146.971718,147.4736084,146.971718,147.4736084,146.971718,147.4736084,145.8202209,None,147.4736084,147.7403679,1.17,147.7563291,None,148.5074992,None,,,,,,,[0.25909091],2.61,0.909090909,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,11,11,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0090236,None,right,1,1.0465903,149.509651,151.0949806,149.509651,150.5940957,149.509651,150.5940957,149.509651,150.5940957,149.509651,150.5940957,149.509651,150.5940957,150.5772448,151.0787232,150.5772448,151.0787232,150.5772448,151.0787232,150.5772448,151.0787232,150.5772448,151.0787232,150.5772448,151.0787232,150.5772448,151.0787232,150.5772448,151.0787232,149.509651,None,151.0787232,None,1.08,151.4455563,None,152.1972093,None,,,,,,,[0.35583333],2.72,0.916666667,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,12,12,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.6983512,None,right,0,0.8626364,153.1977225,154.7009995,153.1977225,154.1993476,153.1977225,154.1993476,153.1977225,154.1993476,153.1977225,154.1993476,153.1977225,154.1993476,154.1824582,154.6847857,154.1824582,154.6847857,154.1824582,154.6847857,154.1824582,154.6847857,154.1824582,154.6847857,154.1824582,154.6847857,154.1824582,154.6847857,154.1824582,154.6847857,153.1977225,None,154.6847857,155.1348748,1,155.1505728,None,155.9021798,None,,,,,,,[0.44384615],2.43,0.846153846,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,13,13,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.4032451,None,left,1,1.4129325,156.9037344,158.6234894,156.9037344,158.1220705,156.9037344,158.1220705,156.9037344,158.1220705,156.9037344,158.1220705,156.9037344,158.1220705,158.1063519,158.6066582,158.1063519,158.6066582,158.1063519,158.6066582,158.1063519,158.6066582,158.1063519,158.6066582,158.1063519,158.6066582,158.1063519,158.6066582,158.1063519,158.6066582,156.9037344,None,158.6066582,159.1234237,1.22,159.1400718,None,159.8915915,None,,,,,,,[0.50357143],2.53,0.857142857,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,14,14,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.3930312,None,right,0,0.9999374,160.8928151,162.5459819,160.8928151,162.0455133,160.8928151,162.0455133,160.8928151,162.0455133,160.8928151,162.0455133,160.8928151,162.0455133,162.0111516,162.5129782,162.0111516,162.5129782,162.0111516,162.5129782,162.0111516,162.5129782,162.0111516,162.5129782,162.0111516,162.5129782,162.0111516,162.5129782,162.0111516,162.5129782,160.8928151,None,162.5129782,163.07958,1.14,163.0962989,None,163.8472971,None,,,,,,,[0.56066667],2.25,0.8,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,15,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.3481684,None,right,0,1.1077217,164.8490196,166.7350198,164.8490196,166.2342776,164.8490196,166.2342776,164.8490196,166.2342776,164.8490196,166.2342776,164.8490196,166.2342776,166.2175702,166.7184248,166.2175702,166.7184248,166.2175702,166.7184248,166.2175702,166.7184248,166.2175702,166.7184248,166.2175702,166.7184248,166.2175702,166.7184248,166.2175702,166.7184248,164.8490196,None,166.7184248,167.3194607,1.38,167.3360173,None,168.086872,None,,,,,,,[0.595625],1.93,0.75,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,16,16,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.5886454,None,left,0,1.8922848,169.0889634,171.3256821,169.0889634,170.8244994,169.0889634,170.8244994,169.0889634,170.8244994,169.0889634,170.8244994,169.0889634,170.8244994,170.8077504,171.3085919,170.8077504,171.3085919,170.8077504,171.3085919,170.8077504,171.3085919,170.8077504,171.3085919,170.8077504,171.3085919,170.8077504,171.3085919,170.8077504,171.3085919,169.0889634,None,171.3085919,None,1.73,171.9265135,None,172.6776905,None,,,,,,,[0.60588235],1.57,0.705882353,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,17,17,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.1787929,None,left,1,1.7821761,173.6788342,176.3996867,173.6788342,175.8989338,173.6788342,175.8989338,173.6788342,175.8989338,173.6788342,175.8989338,173.6788342,175.8989338,175.8822544,176.383902,175.8822544,176.383902,175.8822544,176.383902,175.8822544,176.383902,175.8822544,176.383902,175.8822544,176.383902,175.8822544,176.383902,175.8822544,176.383902,173.6788342,None,176.383902,176.6673414,2.22,176.6827904,None,177.4353081,None,,,,,,,[[0.28]],1.71,0.722222222,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
