backseq,backinstr,backfile,instruction,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,text.started,text.stopped,H1.started,H1.stopped,H2.started,H2.stopped,H3.started,H3.stopped,H4.started,H4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,F1.started,F1.stopped,F2.started,F2.stopped,F3.started,F3.stopped,F4.started,F4.stopped,image_7.started,image_7.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_5.started,image_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,H1_2.started,H1_2.stopped,H2_2.started,H2_2.stopped,H3_2.started,H3_2.stopped,H4_2.started,H4_2.stopped,F1_2.started,F1_2.stopped,F2_2.started,F2_2.stopped,F3_2.started,F3_2.stopped,F4_2.started,F4_2.stopped,image_8.started,image_8.stopped,key_resp_5.rt,text_2.started,text_2.stopped,image_6.started,image_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,77.48073609999847,78.48265439999523,77.48073609999847,78.48265439999523,77.48073609999847,78.48265439999523,77.48073609999847,78.48265439999523,left,1,0.36448099999688566,77.48073609999847,None,77.48073609999847,None,77.48073609999847,77.98138969999854,77.48073609999847,77.98138969999854,77.48073609999847,77.98138969999854,77.48073609999847,77.98138969999854,77.48073609999847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,None,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,79.14890239999659,None,space,6.040575799997896,79.14890239999659,None,85.32545050000044,89.83356229999481,89.81560249999893,None,90.23298029999569,91.2347071999975,90.23298029999569,91.2347071999975,90.23298029999569,91.2347071999975,90.23298029999569,91.2347071999975,up,0,0.868630299999495,90.23298029999569,None,90.23298029999569,None,90.23298029999569,90.73377999999502,90.23298029999569,90.73377999999502,90.23298029999569,90.73377999999502,90.23298029999569,90.73377999999502,90.23298029999569,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,91.71923080000124,92.72126769999886,91.71923080000124,92.72126769999886,91.71923080000124,92.72126769999886,91.71923080000124,92.72126769999886,up,1,0.5337030999944545,91.71923080000124,None,91.71923080000124,None,91.71923080000124,92.21879239999544,91.71923080000124,92.21879239999544,91.71923080000124,92.21879239999544,91.71923080000124,92.21879239999544,91.71923080000124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,left,0,0,0,0,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,93.22033169999486,94.22260819999792,93.22033169999486,94.22260819999792,93.22033169999486,94.22260819999792,93.22033169999486,94.22260819999792,left,1,0.26493330000084825,93.22033169999486,None,93.22033169999486,None,93.22033169999486,93.720997299999,93.22033169999486,93.720997299999,93.22033169999486,93.720997299999,93.22033169999486,93.720997299999,93.22033169999486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,right,0,0,0,0,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,94.72273689999565,95.72414089999802,94.72273689999565,95.72414089999802,94.72273689999565,95.72414089999802,94.72273689999565,95.72414089999802,right,1,0.3384760999979335,94.72273689999565,None,94.72273689999565,None,94.72273689999565,95.22380219999468,94.72273689999565,95.22380219999468,94.72273689999565,95.22380219999468,94.72273689999565,95.22380219999468,94.72273689999565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,down,0,0,0,0,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,96.22586339999543,97.22637899999972,96.22586339999543,97.22637899999972,96.22586339999543,97.22637899999972,96.22586339999543,97.22637899999972,down,1,0.2671247999969637,96.22586339999543,None,96.22586339999543,None,96.22586339999543,96.72593209999468,96.22586339999543,96.72593209999468,96.22586339999543,96.72593209999468,96.22586339999543,96.72593209999468,96.22586339999543,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,97.7269565999959,98.7286798999994,97.7269565999959,98.7286798999994,97.7269565999959,98.7286798999994,97.7269565999959,98.7286798999994,left,1,0.27854349999688566,97.7269565999959,None,97.7269565999959,None,97.7269565999959,98.22872829999687,97.7269565999959,98.22872829999687,97.7269565999959,98.22872829999687,97.7269565999959,98.22872829999687,97.7269565999959,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,up,0,0,0,0,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,99.22920429999795,100.23080029999983,99.22920429999795,100.23080029999983,99.22920429999795,100.23080029999983,99.22920429999795,100.23080029999983,up,1,0.40760410000075353,99.22920429999795,None,99.22920429999795,None,99.22920429999795,99.73011350000161,99.22920429999795,99.73011350000161,99.22920429999795,99.73011350000161,99.22920429999795,99.73011350000161,99.22920429999795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,down,0,0,0,0,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,100.71495689999574,101.71629879999819,100.71495689999574,101.71629879999819,100.71495689999574,101.71629879999819,100.71495689999574,101.71629879999819,down,1,0.38602410000021337,100.71495689999574,None,100.71495689999574,None,100.71495689999574,101.21638739999617,100.71495689999574,101.21638739999617,100.71495689999574,101.21638739999617,100.71495689999574,101.21638739999617,100.71495689999574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
