backseq,backinstr,backfile,instruction,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,text.started,text.stopped,H1.started,H1.stopped,H2.started,H2.stopped,H3.started,H3.stopped,H4.started,H4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,F1.started,F1.stopped,F2.started,F2.stopped,F3.started,F3.stopped,F4.started,F4.stopped,image_7.started,image_7.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_5.started,image_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,H1_2.started,H1_2.stopped,H2_2.started,H2_2.stopped,H3_2.started,H3_2.stopped,H4_2.started,H4_2.stopped,F1_2.started,F1_2.stopped,F2_2.started,F2_2.stopped,F3_2.started,F3_2.stopped,F4_2.started,F4_2.stopped,image_8.started,image_8.stopped,text_2.started,text_2.stopped,image_6.started,image_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,124.60623889999988,125.60853700000007,124.60623889999988,125.60853700000007,124.60623889999988,125.60853700000007,124.60623889999988,125.60853700000007,left,1,0.35233299999526935,124.60623889999988,None,124.60623889999988,None,124.60623889999988,125.10827499999868,124.60623889999988,125.10827499999868,124.60623889999988,125.10827499999868,124.60623889999988,125.10827499999868,124.60623889999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,None,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,126.32619189999969,None,space,28.88067140000203,126.32619189999969,None,155.41940189999877,159.9263323999985,159.89219840000442,None,160.27556660000118,161.27811010000005,160.27556660000118,161.27811010000005,160.27556660000118,161.27811010000005,160.27556660000118,161.27811010000005,None,1,,160.27556660000118,None,160.27556660000118,None,160.27556660000118,160.77738859999954,160.27556660000118,160.77738859999954,160.27556660000118,160.77738859999954,160.27556660000118,160.77738859999954,160.27556660000118,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,161.762882300005,162.76328400000057,161.762882300005,162.76328400000057,161.762882300005,162.76328400000057,161.762882300005,162.76328400000057,up,1,0.42018580000149086,161.762882300005,None,161.762882300005,None,161.762882300005,162.2629029000018,161.762882300005,162.2629029000018,161.762882300005,162.2629029000018,161.762882300005,162.2629029000018,161.762882300005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,left,0,0,0,0,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,163.2652253999986,164.26583860000392,163.2652253999986,164.26583860000392,163.2652253999986,164.26583860000392,163.2652253999986,164.26583860000392,left,1,0.27789879999909317,163.2652253999986,None,163.2652253999986,None,163.2652253999986,163.76509430000442,163.2652253999986,163.76509430000442,163.2652253999986,163.76509430000442,163.2652253999986,163.76509430000442,163.2652253999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,right,0,0,0,0,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,164.7671061000001,165.7679386000018,164.7671061000001,165.7679386000018,164.7671061000001,165.7679386000018,164.7671061000001,165.7679386000018,down,0,0.8640166999975918,164.7671061000001,None,164.7671061000001,None,164.7671061000001,165.2673477999997,164.7671061000001,165.2673477999997,164.7671061000001,165.2673477999997,164.7671061000001,165.2673477999997,164.7671061000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,down,0,0,0,0,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,166.26923499999975,167.2704184000031,166.26923499999975,167.2704184000031,166.26923499999975,167.2704184000031,166.26923499999975,167.2704184000031,None,0,,166.26923499999975,None,166.26923499999975,None,166.26923499999975,166.76916120000533,166.26923499999975,166.76916120000533,166.26923499999975,166.76916120000533,166.26923499999975,166.76916120000533,166.26923499999975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,167.75351110000338,168.7558347000013,167.75351110000338,168.7558347000013,167.75351110000338,168.7558347000013,167.75351110000338,168.7558347000013,left,1,0.8938976999997976,167.75351110000338,None,167.75351110000338,None,167.75351110000338,168.25458600000275,167.75351110000338,168.25458600000275,167.75351110000338,168.25458600000275,167.75351110000338,168.25458600000275,167.75351110000338,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,up,0,0,0,0,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,169.2556149000011,170.25811700000486,169.2556149000011,170.25811700000486,169.2556149000011,170.25811700000486,169.2556149000011,170.25811700000486,up,1,0.8633690999995451,169.2556149000011,None,169.2556149000011,None,169.2556149000011,169.75723840000137,169.2556149000011,169.75723840000137,169.2556149000011,169.75723840000137,169.2556149000011,169.75723840000137,169.2556149000011,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,down,0,0,0,0,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,170.74152850000246,171.74365460000263,170.74152850000246,171.74365460000263,170.74152850000246,171.74365460000263,170.74152850000246,171.74365460000263,down,1,1.097609399999783,170.74152850000246,None,170.74152850000246,None,170.74152850000246,171.242468000004,170.74152850000246,171.242468000004,170.74152850000246,171.242468000004,170.74152850000246,171.242468000004,170.74152850000246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
