backseq,backinstr,backfile,instruction,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,text.started,text.stopped,H1.started,H1.stopped,H2.started,H2.stopped,H3.started,H3.stopped,H4.started,H4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,F1.started,F1.stopped,F2.started,F2.stopped,F3.started,F3.stopped,F4.started,F4.stopped,image_7.started,image_7.stopped,key_resp_3.rt,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_5.started,image_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,H1_2.started,H1_2.stopped,H2_2.started,H2_2.stopped,H3_2.started,H3_2.stopped,H4_2.started,H4_2.stopped,F1_2.started,F1_2.stopped,F2_2.started,F2_2.stopped,F3_2.started,F3_2.stopped,F4_2.started,F4_2.stopped,image_8.started,image_8.stopped,key_resp_5.rt,text_2.started,text_2.stopped,image_6.started,image_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,50.116814000000886,51.11911140000302,50.116814000000886,51.11911140000302,50.116814000000886,51.11911140000302,50.116814000000886,51.11911140000302,left,1,50.116814000000886,None,50.116814000000886,None,50.116814000000886,50.61755760000233,50.116814000000886,50.61755760000233,50.116814000000886,50.61755760000233,50.116814000000886,50.61755760000233,50.116814000000886,None,0.3164777999991202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,None,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,51.76935680000315,None,space,4.159425999998348,51.76935680000315,None,56.075681900001655,60.582528300001286,60.54898530000355,None,60.98386149999715,61.98451760000171,60.98386149999715,61.98451760000171,60.98386149999715,61.98451760000171,60.98386149999715,61.98451760000171,None,1,60.98386149999715,None,60.98386149999715,None,60.98386149999715,61.484511499998916,60.98386149999715,61.484511499998916,60.98386149999715,61.484511499998916,60.98386149999715,61.484511499998916,60.98386149999715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,62.4685959999988,63.47082870000304,62.4685959999988,63.47082870000304,62.4685959999988,63.47082870000304,62.4685959999988,63.47082870000304,left,0,62.4685959999988,None,62.4685959999988,None,62.4685959999988,62.969592399997055,62.4685959999988,62.969592399997055,62.4685959999988,62.969592399997055,62.4685959999988,62.969592399997055,62.4685959999988,None,0.596526499997708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,left,0,0,0,0,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,63.97074050000083,64.9729593000011,63.97074050000083,64.9729593000011,63.97074050000083,64.9729593000011,63.97074050000083,64.9729593000011,None,0,63.97074050000083,None,63.97074050000083,None,63.97074050000083,64.47163320000254,63.97074050000083,64.47163320000254,63.97074050000083,64.47163320000254,63.97074050000083,64.47163320000254,63.97074050000083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,right,0,0,0,0,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,65.47299010000279,66.4745716000034,65.47299010000279,66.4745716000034,65.47299010000279,66.4745716000034,65.47299010000279,66.4745716000034,right,1,65.47299010000279,None,65.47299010000279,None,65.47299010000279,65.97435479999695,65.47299010000279,65.97435479999695,65.47299010000279,65.97435479999695,65.47299010000279,65.97435479999695,65.47299010000279,None,0.8245368999996572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,down,0,0,0,0,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,66.97531819999858,67.97739710000315,66.97531819999858,67.97739710000315,66.97531819999858,67.97739710000315,66.97531819999858,67.97739710000315,None,0,66.97531819999858,None,66.97531819999858,None,66.97531819999858,67.47671640000044,66.97531819999858,67.47671640000044,66.97531819999858,67.47671640000044,66.97531819999858,67.47671640000044,66.97531819999858,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,68.4774350000007,69.47882129999925,68.4774350000007,69.47882129999925,68.4774350000007,69.47882129999925,68.4774350000007,69.47882129999925,down,0,68.4774350000007,None,68.4774350000007,None,68.4774350000007,68.97948460000043,68.4774350000007,68.97948460000043,68.4774350000007,68.97948460000043,68.4774350000007,68.97948460000043,68.4774350000007,None,0.09158450000541052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,up,0,0,0,0,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,69.96299900000304,70.96535969999968,69.96299900000304,70.96535969999968,69.96299900000304,70.96535969999968,69.96299900000304,70.96535969999968,up,1,69.96299900000304,None,69.96299900000304,None,69.96299900000304,70.46436079999694,69.96299900000304,70.46436079999694,69.96299900000304,70.46436079999694,69.96299900000304,70.46436079999694,69.96299900000304,None,0.8382057000053464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,practice,1,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,down,0,0,0,0,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,71.46589929999755,72.46829460000299,71.46589929999755,72.46829460000299,71.46589929999755,72.46829460000299,71.46589929999755,72.46829460000299,None,0,71.46589929999755,None,71.46589929999755,None,71.46589929999755,71.96667760000128,71.46589929999755,71.96667760000128,71.46589929999755,71.96667760000128,71.46589929999755,71.96667760000128,71.46589929999755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
