TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
go,triangle.png,space,1087,1.087,1.587,0,25,25,50,,,,,,,,,,,,,,,,,,,,,,,,,70.4144387000124,70.91514930000994,70.89836450002622,None,space,1,0.269133800000418,70.4144387000124,70.4144387000124,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
go,triangle.png,space,1344,1.344,1.844,0,26,26,53,,,,,,,,,,,,,,,,,,,,,,,,,72.00129620003281,72.50096149998717,72.48495780001394,73.83609160000924,space,1,0.37045549997128546,72.00129620003281,72.00129620003281,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
go,triangle.png,space,1651,1.651,2.151,0,27,27,30,,,,,,,,,,,,,,,,,,,,,,,,,73.85285219998332,74.35404030000791,74.33779810002306,75.9899640000076,space,1,0.3027843000018038,73.85285219998332,73.85285219998332,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
nogo,square.png,None,1194,1.194,1.694,0,28,28,24,,,,,,,,,,,,,,,,,,,,,,,,,76.0071908000391,76.50755760003813,76.49053910002112,77.69278700003633,None,1,,76.0071908000391,76.0071908000391,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
nogo,square.png,None,1611,1.611,2.111,0,29,29,28,,,,,,,,,,,,,,,,,,,,,,,,,77.70896670001093,78.20967140002176,78.19291580002755,79.81214130000444,None,1,,77.70896670001093,77.70896670001093,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
nogo,square.png,None,1783,1.783,2.283,0,30,30,60,,,,,,,,,,,,,,,,,,,,,,,,,79.82878169999458,80.32980030000908,80.31291400000919,82.09875589999137,None,1,,79.82878169999458,79.82878169999458,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
nogo,square.png,None,1337,1.337,1.837,0,31,31,64,,,,,,,,,,,,,,,,,,,,,,,,,82.11553260002984,82.61647690000245,82.60012540000025,None,None,1,,82.11553260002984,82.11553260002984,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
go,triangle.png,space,1716,1.716,2.216,0,32,32,14,,,,,,,,,,,,,,,,,,,,,,,,,83.95203200000105,84.45228070003213,84.43590590002714,86.15629340003943,space,1,0.43602480000117794,83.95203200000105,83.95203200000105,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
go,triangle.png,space,1711,1.711,2.211,0,33,33,65,,,,,,,,,,,,,,,,,,,,,,,,,86.17204899998615,86.67227700003423,86.65556370001286,88.37543780001579,space,1,0.3039225999964401,86.17204899998615,86.17204899998615,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
go,triangle.png,space,1280,1.28,1.78,0,34,34,18,,,,,,,,,,,,,,,,,,,,,,,,,88.39151739998488,88.89246180001646,88.8757141000242,90.16112790000625,space,1,0.324996099981945,88.39151739998488,88.39151739998488,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
