TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.started,key_resp_9.stopped,key_resp_9.rt,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
nogo,square.png,None,1414,1.414,1.914,0,44,44,68,,,,,,,,,,,,,,,,,,,,,,,,,113.03617830015719,113.538300300017,113.51986360014416,114.93850210006349,None,1,113.03617830015719,113.03617830015719,,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1651,1.651,2.151,0,45,45,30,,,,,,,,,,,,,,,,,,,,,,,,,114.95590670011006,115.45689240004867,115.4393013000954,117.09193859994411,space,1,114.95590670011006,114.95590670011006,0.9707229998894036,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1630,1.63,2.13,0,46,46,23,,,,,,,,,,,,,,,,,,,,,,,,,117.10854150005616,117.60939590004273,117.59265480004251,119.2292238001246,space,1,117.10854150005616,117.10854150005616,0.4500788999721408,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1478,1.478,1.978,0,47,47,75,,,,,,,,,,,,,,,,,,,,,,,,,119.24579469999298,119.74589459993877,119.72912940010428,121.2156593000982,space,1,119.24579469999298,119.24579469999298,0.39275420014746487,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
nogo,square.png,None,1233,1.233,1.733,0,48,48,44,,,,,,,,,,,,,,,,,,,,,,,,,121.23220030008815,121.73288340005092,121.71552069997415,122.95150800002739,None,1,121.23220030008815,121.23220030008815,,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1767,1.767,2.267,0,49,49,77,,,,,,,,,,,,,,,,,,,,,,,,,122.96726289996877,123.46834990009665,123.45235650008544,125.22217660001479,space,1,122.96726289996877,122.96726289996877,0.3754143000114709,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1739,1.739,2.239,0,50,50,17,,,,,,,,,,,,,,,,,,,,,,,,,125.23890980007127,125.73888640012592,125.72277049999684,127.47421330003999,space,1,125.23890980007127,125.23890980007127,0.4002161999233067,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1002,1.002,1.502,0,51,51,34,,,,,,,,,,,,,,,,,,,,,,,,,127.49159410013817,127.9938471999485,127.97488790005445,128.97738720010966,space,1,127.49159410013817,127.49159410013817,0.4520053998567164,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1437,1.437,1.937,0,52,52,45,,,,,,,,,,,,,,,,,,,,,,,,,128.99388560000807,129.4946401999332,129.477807499934,130.91290870006196,space,1,128.99388560000807,128.99388560000807,0.4369713000487536,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1566,1.566,2.066,0,53,53,25,,,,,,,,,,,,,,,,,,,,,,,,,130.94691110006534,131.4467813000083,131.43097839993425,132.9999113001395,space,1,130.94691110006534,130.94691110006534,0.4282613000832498,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1532,1.532,2.032,0,54,54,2,,,,,,,,,,,,,,,,,,,,,,,,,133.0167264000047,133.51735209999606,133.50058440002613,135.03658220008947,space,1,133.0167264000047,133.0167264000047,0.41419410007074475,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1806,1.806,2.306,0,55,55,73,,,,,,,,,,,,,,,,,,,,,,,,,135.05318260006607,135.55398049997166,135.53701069997624,137.3560778000392,space,1,135.05318260006607,135.05318260006607,0.37826009979471564,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1674,1.674,2.174,0,56,56,47,,,,,,,,,,,,,,,,,,,,,,,,,137.3723248001188,137.87334579997696,137.8582183001563,139.54315160005353,space,1,137.3723248001188,137.3723248001188,0.3946976000443101,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1447,1.447,1.947,0,57,57,7,,,,,,,,,,,,,,,,,,,,,,,,,139.55921149998903,140.06001120014116,140.04306180006824,141.49538500001654,space,1,139.55921149998903,139.55921149998903,0.4558777001220733,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
