TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.started,key_resp_9.stopped,key_resp_9.rt,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
go,triangle.png,space,1806,1.806,2.306,0,30,30,73,,,,,,,,,,,,,,,,,,,,,,,,,94.40986079999857,94.91110019999905,94.89415030000237,96.71392930000002,space,1,94.40986079999857,94.40986079999857,0.3179147000046214,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
nogo,square.png,None,1467,1.467,1.967,0,31,31,72,,,,,,,,,,,,,,,,,,,,,,,,,96.72992320000048,97.23160720000305,97.21470479999698,98.6836598000009,None,1,96.72992320000048,96.72992320000048,,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1052,1.052,1.552,0,32,32,89,,,,,,,,,,,,,,,,,,,,,,,,,98.69949369999813,99.20116219999909,99.18436240000301,None,space,1,98.69949369999813,98.69949369999813,0.31645819999539526,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
nogo,square.png,None,1600,1.6,2.1,0,33,33,92,,,,,,,,,,,,,,,,,,,,,,,,,100.25207709999813,100.75384540000232,100.73586860000069,102.33851960000175,None,1,100.25207709999813,100.25207709999813,,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1955,1.955,2.455,0,34,34,35,,,,,,,,,,,,,,,,,,,,,,,,,102.35490320000099,102.8570034000004,102.83954470000026,104.80927830000292,space,1,102.35490320000099,102.35490320000099,0.28480239999771584,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1594,1.594,2.094,0,35,35,38,,,,,,,,,,,,,,,,,,,,,,,,,104.82601219999924,105.3259074000016,105.30995029999758,106.91364199999953,space,1,104.82601219999924,104.82601219999924,0.3497332999977516,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1021,1.021,1.521,0,36,36,91,,,,,,,,,,,,,,,,,,,,,,,,,106.92821859999822,107.4295065999977,107.41231479999988,108.4489814999979,space,1,106.92821859999822,106.92821859999822,0.3674585999979172,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1357,1.357,1.857,0,37,37,29,,,,,,,,,,,,,,,,,,,,,,,,,108.46390280000196,108.96463280000171,108.94734949999838,110.3173506000021,space,1,108.46390280000196,108.46390280000196,0.43208620000223164,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1739,1.739,2.239,0,38,38,17,,,,,,,,,,,,,,,,,,,,,,,,,110.3338939000023,110.83534959999815,110.81748530000186,112.57042170000204,space,1,110.3338939000023,110.3338939000023,0.3460285000037402,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
nogo,square.png,None,1165,1.165,1.665,0,39,39,76,,,,,,,,,,,,,,,,,,,,,,,,,112.58749979999993,113.08810880000237,113.07086819999677,114.23977939999895,None,1,112.58749979999993,112.58749979999993,,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
