TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.started,key_resp_9.stopped,key_resp_9.rt,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
go,square.png,space,1054,1.054,1.554,0,29,29,39,,,,,,,,,,,,,,,,,,,,,,,,,94.0488051000284,94.54965830000583,94.53282000008039,None,space,1,94.0488051000284,94.0488051000284,0.4312252000672743,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1044,1.044,1.544,0,30,30,92,,,,,,,,,,,,,,,,,,,,,,,,,95.60096210008487,96.10161750006955,96.08492220006883,97.13727509998716,space,1,95.60096210008487,95.60096210008487,0.5350578000070527,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
nogo,triangle.png,None,1867,1.867,2.367,0,31,31,33,,,,,,,,,,,,,,,,,,,,,,,,,97.15405310003553,97.65544760006014,97.6375322000822,99.50763870007358,None,1,97.15405310003553,97.15405310003553,,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1160,1.16,1.66,0,32,32,48,,,,,,,,,,,,,,,,,,,,,,,,,99.52379180002026,100.02424749999773,100.00865390000399,101.17599080002401,space,1,99.52379180002026,99.52379180002026,0.35619140008930117,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1503,1.503,2.003,0,33,33,79,,,,,,,,,,,,,,,,,,,,,,,,,101.19275659997948,101.693477599998,101.6774538999889,None,space,1,101.19275659997948,101.19275659997948,0.37539709999691695,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1230,1.23,1.73,0,34,34,35,,,,,,,,,,,,,,,,,,,,,,,,,103.19578080007341,103.69648909999523,103.67992170003708,104.91503290005494,space,1,103.19578080007341,103.19578080007341,0.4045719000278041,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1462,1.462,1.962,0,35,35,72,,,,,,,,,,,,,,,,,,,,,,,,,104.93147860001773,105.4332362000132,105.41561490006279,106.88549870008137,space,1,104.93147860001773,104.93147860001773,0.2686152000678703,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1121,1.121,1.621,0,36,36,22,,,,,,,,,,,,,,,,,,,,,,,,,106.90087850007694,107.40203910006676,107.3851752000628,108.52085570001509,space,1,106.90087850007694,106.90087850007694,0.38725719996728003,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1821,1.821,2.3209999999999997,0,37,37,58,,,,,,,,,,,,,,,,,,,,,,,,,108.53683710005134,109.03801120002754,109.02135310007725,110.85691650002263,space,1,108.53683710005134,108.53683710005134,0.36744579998776317,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
nogo,triangle.png,None,1273,1.273,1.773,0,38,38,5,,,,,,,,,,,,,,,,,,,,,,,,,110.87373210000806,111.37577600008808,111.35776450007688,112.64308449998498,space,0,110.87373210000806,110.87373210000806,0.28649830003269017,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
